RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-ND,BS202105170085737,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-LB-ACCM,17-MAY-21
R-ND,ND202101080026766,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,13-JAN-21
R-ND,ND202203100049906,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,16-MAR-22
R-ND,EMU202010150008763,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,21-OCT-20
R-ND,ND202204080041479,AB-FTTH,CREATE,T<=7D,CONSTRUCT OSP,ND-CPE-NC,08-APR-22
R-ND,KAU202204070014048,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,ND-RTOFFICE,08-APR-22
R-ND,ND202001070077589,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,20-JAN-20
R-ND,KAU202203230095904,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,25-MAR-22
R-ND,GNA202203160061476,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,21-MAR-22
R-ND,ND202204070099366,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-RTOFFICE,08-APR-22
R-ND,ND202203250034183,AB-FTTH,MODIFY-LOCATION,10D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,26-MAR-22
R-ND,ND202102050000819,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,09-FEB-21
R-ND,BS202002110076383,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,12-FEB-20
R-ND,EMU202012220006988,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,29-DEC-20
R-ND,BS202204060056620,AB-FTTH,CREATE,T<=7D,RECONSTRUCT OSP,ND-CPE-NC,06-APR-22
