RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-KL,KL202209230060805,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,23-SEP-22
R-KL,AKP202212220065634,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-AKP-OSP-NC,23-DEC-22
R-KL,KL202204050044743,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,12-NOV-22
R-KL,KL202206040002652,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,19-AUG-22
R-KL,KL202203310078833,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,21-DEC-22
R-KL,KL202210270071702,AB-CAB,CREATE,T>1M,RECONST OSP_MANUAL,KL-RTOFFICE,27-OCT-22
R-KL,KL202208120021491,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,14-SEP-22
R-KL,KL202212190065185,AB-CAB,CREATE,7D<T<=1M,RESOLVE CONST ISSUE,KL-RTOFFICE,19-DEC-22
R-KL,KL202212240016173,AB-CAB,CREATE,T<=3D,RECONSTRUCT OSP,KL-KL-OSP-NC,25-DEC-22
R-KL,KL202208090060107,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,25-AUG-22
R-KL,AKP202209150078878,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,19-SEP-22
R-KL,TKV202203170084407,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,18-MAR-22
R-KL,KL202209290026240,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,29-SEP-22
R-KL,KL202211290081812,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,KL-RTOFFICE,29-NOV-22
R-KL,KL202208300016212,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,03-SEP-22
R-KL,TKV202210170096742,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,20-OCT-22
R-KL,KL202207060008144,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,31-AUG-22
R-KL,AKP202202120035928,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,28-FEB-22
R-KL,SM202202110002366,AB-CAB,MODIFY-LOCATION,T>1M,WAIT SOP  PROVISION,KL-RTOFFICE,15-JUN-22
R-KL,AKP202209200040764,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,21-SEP-22
R-KL,AKP202202050042575,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,23-MAR-22
R-KL,SM202212240016532,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-SM-OSP-NC,25-DEC-22
R-KL,AKP202212230085231,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-AKP-OSP-NC,23-DEC-22
R-KL,SM202201100026330,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,23-MAY-22
R-KL,KL202212240016202,AB-CAB,CREATE,T<=3D,RECONSTRUCT OSP,KL-KL-OSP-NC,25-DEC-22
R-KL,KL202204210060065,AB-CAB,MODIFY-LOCATION,T>1M,WIRE MSAN,KL-RTOFFICE,21-APR-22
R-KL,KL202209160008739,AB-CAB,MODIFY-LOCATION,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,24-DEC-22
R-KL,KL202209260025279,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,08-DEC-22
R-KL,KL202212240016481,AB-CAB,CREATE-RECON,T<=3D,CONSTRUCT OSP,KL-KL-OSP-NC,25-DEC-22
R-KL,KL202206100048551,AB-CAB,MODIFY-LOCATION,T>1M,WAIT COMPLETE CHILD,KL-RTOFFICE,25-JUN-22
R-KL,KL202212150009947,AB-CAB,MODIFY-LOCATION,7D<T<=1M,WIRE MSAN,KL-KL-MDF,15-DEC-22
R-KL,KL202204050039950,AB-CAB,CREATE,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,04-MAY-22
R-KL,SM202212160068198,AB-CAB,CREATE-RECON,7D<T<=1M,RESOLVE CONST ISSUE,KL-RTOFFICE,17-DEC-22
R-KL,KL202212230089928,AB-CAB,CREATE-RECON,3D<T<=7D,CONSTRUCT OSP,KL-KL-OSP-NC,23-DEC-22
R-KL,TKV202204260071535,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,26-APR-22
R-KL,KL202205130025133,AB-CAB,CREATE-RECON,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,13-MAY-22
R-KL,SM202201100026408,AB-CAB,CREATE,T>1M,RESOLVE CONST ISSUE,KL-RTOFFICE,11-JAN-22
R-KL,KL202209230060743,AB-CAB,CREATE-RECON,T>1M,CANCEL SERVICE ORDER,KL-RTOFFICE,13-DEC-22
